"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 16 23:01:24 SGT 2023","Sun Apr 16 23:01:44 SGT 2023","19734","","Web Tables page (create, edit, delete)","","Web Tables page (create, edit, delete)","Should check maim elements on the page","Should check maim elements on the page",""
"passed","Sun Apr 16 23:01:02 SGT 2023","Sun Apr 16 23:01:19 SGT 2023","17257","","Practice Form Overview Page","","Practice Form Overview Page","Should check maim elements on the page","Should check maim elements on the page",""
